mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5599902153015137,0.09086705341928682,0.030526399612426758,0.002662648038549072,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.9081081081081082,0.8571428571428571,0.8953488372093024,0.9028571428571428,0.8654970760233918,0.8857908042681604,0.020558298751545495,69
2.7871137619018556,0.09774463378692438,0.04694986343383789,0.003943004869192571,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9139784946236559,0.8505747126436781,0.9017341040462428,0.8926553672316384,0.8850574712643678,0.8888000299619166,0.02140696433541766,56
3.5893208503723146,0.4109325640287336,0.06321816444396973,0.007281015604335671,,1,2,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.918918918918919,0.8554913294797688,0.9069767441860465,0.8938547486033519,0.8901734104046243,0.893083030318542,0.021366917577926733,15
1.1409878253936767,0.04406071638586629,0.026990604400634766,0.0024292529905675163,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.9289617486338798,0.8554913294797688,0.9132947976878613,0.8813559322033898,0.8850574712643678,0.8928322558538534,0.025731513477712114,20
2.4151354312896727,0.1312553229196818,0.057469415664672854,0.02208646086501392,,1,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.9239130434782609,0.8604651162790697,0.8914285714285715,0.8926553672316384,0.8863636363636364,0.8909651469562354,0.020199313171931802,35
3.636904001235962,0.22093754166245336,0.06616926193237305,0.006054903858516331,,1,5,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.9180327868852459,0.8604651162790697,0.9186046511627907,0.8926553672316384,0.8850574712643678,0.8949630785646224,0.021838916577301904,3
1.1410996437072753,0.052888083147156026,0.02819657325744629,0.0038773203139804845,,1,10,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.9171270718232044,0.8670520231213873,0.9122807017543859,0.8938547486033519,0.872093023255814,0.8924815137116286,0.020315741141279525,25
2.301742124557495,0.1614280503845177,0.04755887985229492,0.006314152933639718,,1,10,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.9222222222222223,0.8636363636363636,0.9069767441860465,0.8876404494382022,0.872093023255814,0.8905137605477297,0.021663011405985408,42
3.49320592880249,0.16443740038867632,0.05903592109680176,0.002057909252731438,,1,10,300,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.9171270718232044,0.8554913294797688,0.9122807017543859,0.88268156424581,0.8850574712643678,0.8905276277135072,0.02235957143870835,38
1.1631809234619142,0.08812475389342118,0.027072429656982422,0.0022661181734747785,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.9230769230769231,0.8488372093023255,0.8914285714285715,0.8863636363636364,0.8901734104046243,0.8879759501152161,0.02359350892329332,60
2.1687482357025147,0.11827893854007189,0.04404296875,0.0050921448599433065,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9333333333333333,0.8488372093023255,0.896551724137931,0.898876404494382,0.8888888888888888,0.8932975120313721,0.02698420056863565,12
3.4368552207946776,0.06866013226243453,0.0843775749206543,0.03815431516030701,,2,2,300,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9333333333333333,0.8670520231213873,0.896551724137931,0.8938547486033519,0.8837209302325582,0.8949025518857123,0.021823946658464904,6
1.1134363174438477,0.04869724116889881,0.02755703926086426,0.002039072232577788,,2,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.9239130434782609,0.8457142857142858,0.9028571428571428,0.8888888888888888,0.8901734104046243,0.8903093542686404,0.025602387658010886,49
2.2441036224365236,0.17963954580360017,0.04514455795288086,0.004324201856075841,,2,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.9297297297297298,0.8457142857142858,0.8977272727272727,0.8938547486033519,0.8850574712643678,0.8904167016078016,0.026973342892355087,45
3.746120548248291,0.37054052574775004,0.06996040344238282,0.00521793576819283,,2,5,300,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.9347826086956522,0.8571428571428571,0.896551724137931,0.8938547486033519,0.8850574712643678,0.893477881968832,0.024927127109452905,9
1.2494365215301513,0.12476147418321096,0.02748875617980957,0.0033958957509172324,,2,10,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.9273743016759777,0.8571428571428571,0.9122807017543859,0.8926553672316384,0.8670520231213873,0.8913010501852494,0.02645016783766446,31
